epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.7517937940099965,0.027461721622587545,0.013991257378264614,0.7490260124206543,0.03659742269665003,0.018957400880753993
2,0.6314317013906396,0.04637938737869263,0.023991429338069713,0.8790218234062195,0.041503073647618294,0.021594998612999915
3,0.5494344467702119,0.08053584242968456,0.04286864225793144,0.7548602104187012,0.05606531351804733,0.029607076942920686
4,0.5080826049265654,0.11692930725605591,0.06403429202897393,0.5318123638629914,0.11035367399454117,0.06194889731705189
5,0.48654979726542597,0.13961439320574637,0.07780673962248408,0.49110367298126223,0.11758086755871773,0.06806818060576916
6,0.4605111142863398,0.17307686206439268,0.09764960667361385,0.4716388344764709,0.14058396518230437,0.08320636041462422
7,0.4389885819476584,0.20097281071154968,0.11521830004842384,0.4587259292602539,0.15586810782551766,0.09366228245198727
8,0.4153569301833277,0.23534205005220746,0.13691775403592898,0.4400601863861084,0.18910002261400222,0.1151667132973671
9,0.3965662367965864,0.2632257167411887,0.15576507361686748,0.4268166184425354,0.19843917489051818,0.12322374433279037
10,0.38486658749373065,0.28089601060618524,0.17136089471371277,0.4171327978372574,0.2157932475209236,0.135636355727911
11,0.3652753110813058,0.31271063827950024,0.19344169419744742,0.4040296971797943,0.23817128688097,0.15146579220891
12,0.3512398451566696,0.3373387695654579,0.21247342973947525,0.39649046361446383,0.2502212211489677,0.16059597060084344
13,0.32121397587268247,0.3919554699374282,0.25780695693000505,0.37046694159507754,0.295953693985939,0.193761970102787
14,0.30294973306033923,0.4243936143491579,0.28001891465290735,0.3595226317644119,0.31374232172966005,0.2103376492857933
15,0.2782133830630261,0.46999145720316016,0.31743452147297235,0.3533968985080719,0.329502135515213,0.22056264132261277
16,0.27327475534832996,0.4776525536309118,0.3286862046174381,0.34274635910987855,0.342645588517189,0.22982148677110673
17,0.24082425690215567,0.5384427283121191,0.3788240752790285,0.3199609935283661,0.3875657647848129,0.26529971957206727
18,0.21603912341853845,0.5843717559524204,0.42551152472910675,0.3177633583545685,0.38896334171295166,0.2669484332203865
19,0.20618551580802255,0.6018067054126574,0.448821647659592,0.29087611436843874,0.44841294288635253,0.31665116250514985
20,0.17333327169003693,0.6662779307883718,0.5099110292351764,0.29887726306915285,0.42698679864406586,0.2962470889091492
21,0.16661023429554442,0.6787857270759085,0.5236427472985309,0.277491083741188,0.4706207275390625,0.33526505529880524
22,0.1655756068294463,0.6790592942548834,0.5297234032465064,0.2776052951812744,0.46942963600158694,0.33558930158615113
23,0.14149735884174056,0.7262098374574081,0.5812379095865332,0.26769947707653047,0.4893681764602661,0.3511581152677536
24,0.1186608400033868,0.7708157197288845,0.6343405000541521,0.2567994862794876,0.5105806052684784,0.3688627392053604
25,0.12283129811934802,0.7620141480280005,0.6246963739395142,0.2498655542731285,0.5262909829616547,0.3829096257686615
26,0.10618692328748496,0.7948526169942773,0.6660452420296876,0.24133920967578887,0.5425634264945984,0.3982287019491196
27,0.10501388800532921,0.7970115179600923,0.6695209987785505,0.23872940838336945,0.5453638792037964,0.4044767558574677
28,0.09626661403023679,0.8142784522927325,0.6916086725566698,0.24248163104057313,0.5419498264789582,0.4015983819961548
29,0.10150563182390254,0.8045443296432495,0.6804189617219178,0.2408426433801651,0.5446274697780609,0.405169352889061
30,0.08793935171611932,0.8308502332023953,0.715955938981927,0.22720710337162017,0.572385561466217,0.4264521270990372
31,0.08256338617723921,0.8411827994429547,0.7307067228400189,0.24202861934900283,0.5429758548736572,0.4004502177238464
32,0.08306871225004611,0.8398859526800073,0.7321198090263035,0.23244292736053468,0.5629731595516205,0.41554647088050845
33,0.07207363301321217,0.8613461178282033,0.7597998484321262,0.2395843267440796,0.5495797157287597,0.404105880856514
34,0.07392890840444875,0.8577858028204545,0.7552411763564401,0.2289649188518524,0.5692770123481751,0.4291952967643738
35,0.07216765691080819,0.8611435890197754,0.7606565978216089,0.24196822047233582,0.5465453743934632,0.397723400592804
36,0.0653840476728004,0.8745609962421915,0.7815487903097401,0.2266426131129265,0.5754215836524963,0.432247456908226
37,0.06688447944495989,0.8713868571364362,0.7769739861073701,0.22430439591407775,0.5804512798786163,0.44000376760959625
38,0.06082022101010965,0.8828960631204688,0.793379324933757,0.23063432276248932,0.5680382072925567,0.42310563027858733
39,0.05755080193605112,0.8896947839985723,0.8042962577032007,0.22642887830734254,0.5765210151672363,0.4310167819261551
40,0.06005160721099895,0.8848594919494961,0.7967603077059207,0.2185622751712799,0.5919613540172577,0.44797692000865935
41,0.05822576137016649,0.888307493665944,0.8034465934919275,0.22333115488290786,0.5832859635353088,0.43469261527061465
42,0.05354735959807168,0.8973709759504899,0.8168348877326302,0.22933328449726104,0.5733186304569244,0.42572938203811644
43,0.05008151649456957,0.9042661345523336,0.827108515345532,0.2174883082509041,0.5934012293815613,0.4514604568481445
44,0.05196499500585639,0.9003424799960592,0.8215220207753389,0.21435390710830687,0.6004694938659668,0.4584003984928131
45,0.05065590256582136,0.9030592234238334,0.825428527334462,0.22206114679574968,0.5852712869644165,0.4430480569601059
46,0.049359192504830986,0.9055329587148584,0.8295312497926794,0.22119019329547882,0.5873862147331238,0.4440011024475098
47,0.05064172402996084,0.902938635452934,0.8263111891953842,0.22118600308895112,0.589371407032013,0.4440277189016342
48,0.04614578827243784,0.9118883065555407,0.8392769849818685,0.21528719067573548,0.5996423244476319,0.4564774394035339
49,0.044809430189754654,0.9144737046697865,0.8441035358802133,0.22096149921417235,0.5892061531543732,0.4442048966884613
50,0.044254226124157074,0.9155642753062041,0.8460354338521543,0.21195462197065354,0.6062277138233185,0.46403127908706665
